"","Doc.id","text"
"1",1,"0 comments
These phablets are not as powerful as the Note 5, but they're worth trying out because they come with a reasonable price and their cameras do a great job. We'll compare the Galaxy J7 and the Galaxy E7 and we'll see which one has better specs.
Designs and Displays
The Galaxy J7 and the Galaxy E7 still look like most of the old Samsung phones, because their have a shiny plastic back, they're slippery and prone to fingerprints. The good news is that the frame is made of aluminum, so it's more durable and it doesn't deteriorate so easily.
Both phablets come with a Super AMOLED screen that has the same size of 5.5-inch and resolution of 720 x 1280 pixels, which results in a pixel density of 267ppi. But that doesn't mean that the dimensions of their bodies are identical, because the J7 is taller, wider, thicker and heavier, measuring 152.2 x 78.7 x 7.5 mm and weighting 171 grams, while the E7 measures 151.3 x 77.2 x 7.3 mm and weights 141 grams. Also, both phones have the rear camera located in the center, while the LED flash sits in front of it.
Hardware
The J7 has superior internal hardware, being available in two variants of processors: the 64bit Qualcomm Snapdragon 615 chipset is powered by two quad core processors running at 1.4GHz and 1GHz respectively, which are backed by an Adreno 405 GPU, while the other variant uses an Exynos 7580 octa core processor clocked at 1.5GHz, which is paired with Mali-T720MP2 graphics. Both models support 1.5GB of RAM and are housing an internal memory of 16GB, whose capacity can be increased up to 128GB.
There's another story with the E7, which has a much weaker Qualcomm MSM8916 Snapdragon 410 quad-core 1.2 GHz Cortex-A53 processor, but which is backed by 2GB of RAM. Also, the graphics are older - Adreno 306, but the internal memory is identical. The maximum expandable memory size is 64GB and the device uses SIM 2 slot.
Cameras and Batteries
Both the J7 and E7 have a rear camera with a resolution of 13MP (supporting autofocus, LED flash, HDR, 1080p video capture @30fps) and a front camera of 5MP, but only the first phablet is equipped with LED flash, to take better selfies at night.
The batteries have a similar capacity. The J7 has a 3000mAh unit which can be removed, while the E7 is stuck with a 2950mAh battery, but these devices should last 18 hours when making calls over 3G.
Prices
In India, the Galaxy J7 is sold for the price of 227 dollars, while the E7 costs 244 dollars.
"
"2",2,"tweet
This smartphone was launched in June, in India, but it didn't receive as much as attention as it deserves, because everyone was more interested in the Galaxy flagships, the J7 is a mid-range phablet which costs Rs. 14,999 ($230) and it came along with the smaller J5, which whose price is Rs. 11,999 ($185). One of the biggest advantages of these phones is the gaming capability, because they're using 4G LTE connectivity and the users can get of in-game credits from Gameloft.
In this article we'll present you the Galaxy J7, which came loaded with Android 5.1.1. It has an anodized body and faux-metal side bezels which look cheap, and the design is similar to most of Samsung's mid-range phones. The phablet doesn't feel as comfortable to hold as the J5 because of its taller body, but at least it's very slim, measuring 7.5mm. The phone is available in three variants of colors: White, Black and Gold, it weights 171grams and it has a Super AMOLED screen which measures 5.5-inch. The colors look pretty saturated and vibrant, but the screen is not too sharp because the resolution is 720×1280 pixels at 267ppi.
The phone is available in two variants of 64bit processors, so you can choose either the Qualcomm MSM8939 Snapdragon 615 octa core with four cores running at 1.4GHz and four cores running at 1GHz, or the model with an Exynos 7580 octa core processor clocked at 1.5GHz. Whatever variant you'll buy, you'll get 1.5GB of RAM and a microSd card slot to expand the internal memory of 16GB up to 128GB.
You'll take pictures with the impressive 13MP rear camera which has an aperture of f/1.9, but Samsung has added only basic features such as LED flash and autofocus, plus eight modes for Auto, Pro, Panorama, Continuous Shot, Beauty Face, Sound and Shot, Sports and HDR. When switching to the front camera (5MP), you'll see more modes and one is for Wide-Selfie shots. The Continuous Mode and Pro mode don't work as great as they should, but overall, the quality of the images is pretty good.
Its battery has a capacity of 3000mAh and it helps the device last longer than other competitors. Also, the unit is removable and according to ForeArena, it offers 33 hours and 19 minutes of talktime, 6 hours and 40 minutes of browsing over 3G, 8 hours and 20 minutes of WiFi browsing and 12 hours and 30 minutes of video playback.
TAGS
"
"3",3,"13,999 See it
The flawless amalgamation of rich features dazzlingly packed into a slim body, The Samsung Galaxy J7 sports a 5-inch Super AMOLED display with 720 x 1280 pixels screen resolution.
Powered by a 64-Bit Exynos 7580 Octa-core processor clocked at 1.5GHz and coupled with 1.5 GB of RAM, makes multi-tasking instantaneous and ensures games and site load up swiftly.
The Galaxy J7 offers 16 GB of internal storage space, which can be further expanded up to 128 GB via microSD card slot. The device runs on latest Android v5.1 Lollipop OS.
The powerful 3,000mAh battery lets you play games, surf the web and listen to music without worrying about your battery running out. Also, Samsung's Ultra Power Saving Mode (UPS) lets you extend the device's battery life till you find a power outlet.
Key Features of Samsung Galaxy J7
Android 5.1 Lollipop OS
"
"4",4,"Samsung Galaxy J5, Galaxy J7 Selfie-Focused Smartphones Launched in India
by NDTV Correspondent , 16 July 2015
Samsung has launched the Galaxy J5 and Galaxy J7 in India, priced at Rs. 11,999 and Rs. 14,999 respectively. The selfie-focused smartphones will be available to purchase from July 24 exclusively via Flipkart. Pre-booking opens at 4pm on Thursday, and will last till July 23.
The Samsung Galaxy J5 and Samsung Galaxy  J7 were launched first in China last month. Notably, the company has launched slightly different models from those launched in China, with differences including display type, processor, and inbuilt storage. The models launched also do not support TDD-LTE Band 40 (2300MHz) for 4G LTE in India, and only the FDD-LTE Band 3 (1800MHz).
Update: While the specifications initially provided by Samsung India did not  mention support for 2300MHz TDD-LTE Band 40, Samsung has confirmed to  NDTV Gadgets that the Galaxy J5 and Galaxy J7 smartphones do indeed  support this band as well as 1800MHz FDD-LTE Band 3. Airtel uses Band 40  for its 4G services in India right now, and other operators are lining  up to launch 4G services using Band 3.
Samsung says consumers can also opt for Samsung flip covers worth Rs. 999 at Rs. 199 for a limited time period. The South Korean giant has also partnered with Airtel to provide an introductory offer for 4G users which will include double data offer. Customers will also get unlimited music download worth Rs. 594 through Wynk Music app for a period of 6 months.
The  Android 5.1-based smartphones are dual-SIM dual standby handsets that  will be available in Black, White, and Gold colours. Both smartphones feature front-facing LED flash, the first handsets from the company to do so, making them selfie-focus smartphones.
The Samsung  Galaxy J5 features a 5-inch Super Amoled display (instead of the TFT LCD display launched in China) with a HD screen resolution of 720x1280 pixels. The smartphone is backed by 1.2GHz quad-core Snapdragon  410 SoC coupled with 1.5GB of RAM. The Indian model features 8GB of built-in storage instead of the Chinese model's 16GB, and it is further expandable via microSD card (up to 128GB).
It  packs a 2600mAh battery, which is rated to deliver a standby time of 342  hours. It sports a 13-megapixel rear autofocus camera with f/1.9  aperture and 5-megapixel front camera. Apart from 4G, the handset  supports 3G, Bluetooth v4.1, Wi-Fi, NFC, GPS, Glonass and Micro-USB. The  Galaxy J5 measures 142x73x8.5mm and weighs 149 grams.
The Samsung  Galaxy J7 features similar specifications to the Galaxy J5. The only  differences in the Galaxy J7 are the larger 5.5-inch Super Amoled display (once again, instead of the TFT LCD display launched in China) with  the same resolution, 16GB of inbuilt storage, and a 3000mAh battery rated to deliver 354 hours of  standby time. The smartphone measures 152.2x79.1x7.9mm and weighs 168  grams. Notably, Samsung has launched a variant of the Galaxy J7 in India that sports an 1.5GHz octa-core Exynos 7580 processor instead of the octa-core Snapdragon 615 SoC that was launched with the China model.
The company has also partnered with Gameloft to provide an offer buyers of the Galaxy J5 and Galaxy J7 handsets, providing free in-game credits of up to Rs. 3,200 for prominent titles like Asphalt 8 and Modern Combat 5, among others.
Asim Warsi, Vice President, Marketing, IT & Mobile at Samsung India, said, ""Samsung is committed to lead the 4G revolution by providing new user experiences and latest technology. With consumers embracing the 4G revolution, we are looking at expanding our product offerings. The launch of Galaxy J5 and Galaxy J7 aims to give consumers options in the mid-range price segment. With optimal features and great value proposition for our consumers, the new devices will offer an uncompromised smartphone experience, at very competitive prices.""
Download the Gadgets 360 app for Android and iOS to stay up to date with the latest tech news, product                     reviews, and exclusive deals on the popular mobiles.
"
"5",5,"Samsung Galaxy J5, Galaxy J7 India Launch Expected at Thursday Event
by NDTV Correspondent , 14 July 2015
Samsung has sent invites for an event in New Delhi on  Thursday, where the South Korean consumer electronics giant is expected  to launch its newly unveiled Galaxy J5 and Galaxy J7 selfie-focused  smartphones.
The company's invite for the event on Thursday  features an image of a smartphone, along with the caption, ""Unveiling of  the latest stars in the Galaxy series."" With a front-facing flash  module clearly visible in the image, Samsung appears to be pointing to  the launch of its only smartphones with front-facing LED flash - the  Galaxy J5 and Galaxy J7 - though the module is placed differently.
The Samsung Galaxy J5 and Samsung Galaxy  J7 were launched first in China last month, priced at CNY 1,398 (roughly  Rs. 14,300) and CNY 1,798 (roughly Rs. 18,400) respectively. The  Android 5.1-based smartphones are dual-SIM dual standby handsets that  will be available in Black, White, and Gold colours.
The Samsung  Galaxy J5 features a 5-inch TFT display with a HD screen resolution of  1280x720 pixels. The smartphone is backed by 1.2GHz quad-core Snapdragon  410 SoC coupled with 1.5GB of RAM. There is 16GB of built-in storage,  which is further expandable via microSD card (up to 128GB).
It  packs a 2600mAh battery, which is rated to deliver standby time of 342  hours. It sports a 13-megapixel rear autofocus camera with f/1.9  aperture and 5-megapixel front camera. Apart from 4G, the handset  supports 3G, Bluetooth v4.1, Wi-Fi, NFC, GPS, Glonass and Micro-USB. The  Galaxy J5 measures 142x73x8.5mm and weighs 149 grams.
The Samsung  Galaxy J7 features similar specifications to the Galaxy J5. The only  differences in the Galaxy J7 are the larger 5.5-inch TFT display with  the same resolution, an octa-core Snapdragon 615 (four 1.4GHz cores +  four 1GHz cores), and a 3000mAh battery rated to deliver 354 hours of  standby time. The smartphone measures 152.2x79.1x7.9mm and weighs 168  grams.
Download the Gadgets 360 app for Android and iOS to stay up to date with the latest tech news, product                     reviews, and exclusive deals on the popular mobiles.
"
"6",6,"tweet
All year, Samsung has been in the spotlight with its new glass and metal flagships, starting with the Galaxy S6 and ending with the Galaxy Note 5, but that doesn't mean that the company hasn't worked on other models in parallel. In fact, in September, the South Korean manufacturer has announced a pair of new mid-range devices, the Galaxy J7 phablet and the smaller J5. But in June, the company has launched the much smaller J5, which isn't a lot more advanced than the A3, which was released in December 2014. To give you an idea about how different they are, we've made a comparison between them.
Designs and Displays
The Galaxy J2 looks more like the first Samsung smartphones which came with a polycarbonate coarse-textured back, with curved edges and a wide frame curved on the sides, which, this time, is made of metal. On the front side, you'll see the familiar oval home button which is surrounded by capacitive buttons, but the phone lacks a fingerprint scanner. The dimensions are 136.5x69x8.4mm, but its weight hasn't been specified. The screen measures 4.7-inch and it's a Super AMOLED supporting a resolution of 540×960 pixels at 234ppi and you'll easily operate on it with one hand.
The A3 has a more premium appearance, having a slimmer body which is made of metal. The back and the sides are flat and there are a bunch of color options for the metallic construction: Midnight Black, Pearl White, Platinum Silver, Soft Pink, Light Blue and Champagne Gold, while the J2 is available only in White, Black and Gold. And the dimensions of the A3 are 130.1×65.5×6.9mm, but despite of the metal body, the phone has a weight of only 110grams. But the screen is even smaller at 4.5-inch and it supports also a resolution of 540x960pixels with 245ppi, which means that it's sharper.
Hardware
None of the devices have impressive processors, but at least they have four cores. However, the J2 uses an old Exynos 3475 quad core Cortex-A7 processor clocked at 1.3GHz, which is backed by Mali-T720 graphics and 1GB of RAM, but Samsung could have been more generous with the internal memory, because it has a capacity of only 8GB, so if you want to install more applications, you'll need to do it on the microSD card, because the maximum supported size is 128GB.
The A3 uses a Qualcomm MSM8916 Snapdragon 410 quad core 1.2GHz Cortex-A53 processor which works with an Adreno 306 GPU. The good news is that if you don't have enough money to get the model with 1.5GB of RAM, there's another variant which supports 1GB of RAM. The phone's internal memory is also expandable, but the initial capacity is 16GB and it can be increased up to 64GB.
Cameras and Batteries
The J2 doesn't excel in the camera department, because Samsung didn't intend to make this device amazing, so the resolutions of the two cameras were limited to 5MP and 2MP and the features are standard, nothing spectacular about them.
The A3 offers an 8MP back camera and a 5MP front camera, which inherited the same features, only that the phone is capable of recording Full HD videos.
As for the batteries, Samsung went back to a removable unit and its capacity is 2000mAh, but it isn't known how much it lasts. The A3 has a uni-body design, which makes the battery non-removable. That's sad, because its capacity is only 1900mAh.
Prices
In India, the J2 can be found at a price of 130 dollars, while the A3 can be bought from Amazon, where it costs 180 dollars.
TAGS
"
"7",7,"Smartphones the biggest hit on Flipkart's Big Billion sale
Gulveen Aulakh
Flipkart sold more than $200 million worth of mobile phones during the five-day Big Billion Days sale.
| ET Bureau | Oct 26, 2015, 05.37 PM IST
Highlights
. Flipkart sold more than $200 million worth of mobile phones during the five-day Big Billion Days sale
. Mobile phones made up two-thirds of the $300 million worth of products sold during the sale
. The company's overall smartphone sales mirror that of the Indian market
Smartphones were the most sold product in Flipkart's Big Billion sale, which started on October 13. So much so... Read More
NEW DELHI: Flipkart, the country's largest online retailer and marketplace, sold more than $200 million worth of mobile phones during the five-day Big Billion Days sale, with most consumers demanding 4G-backed devices, a top executive said.
Mobile phones made up two-thirds of the $300 million worth of products purchased by consumers during the sale, which started on October 13. Flipkart sold 250 mobile phones every minute, of which 190 were 4G phones, during the five days, chief business officer Ankit Nagori said.
""Today, three of four phones, which we sell on Flipkart are 4G phones,"" said Nagori. ""About 80% of sale of mobile phones that happened during Big Billion Days were actually 4G phones. Overall, 80% of the phones sold would be under Rs 10,000 range.""
He said Flipkart was the largest marketplace in the country for mobile phones. During last year's one-day Big Billion Day event, it sold $60 million worth of mobile phones.
The company's overall smartphone sales mirror that of the Indian market, which is expected to overtake the US as the second-fastest growing market, after China, by 2017. According to Counterpoint Technology Market Research, almost 30% of the smartphones sold in India during the April to June quarter were through online channels. Smartphones sold only online contributed to more than 20% of the total. More than half of these exclusively online sales were on Flipkart, it added.
""Our smartphone numbers have grown in very high triple digits over the last one year but we don't share exact numbers. But I can say that all the growth is coming from 4G phones,"" Nagori added. Some of the top-selling 4G handsets during Flipkart's sale were Lenovo K3 Note, Moto G3, Samsung Galaxy J5 and J7. The company said most of the 4G phone demand came from Maharashtra, Karnataka, Andhra Pradesh, Tamil Nadu and Gujarat.
The spurt in sales of 4G phones was on account of their attractive pricing -- most were available in the affordable segment of Rs 7,500 to Rs 15,000 and became even cheaper after discounts. Today, 4G phones start at Rs 4,990.
Flipkart has sold about 6 million 4G handsets since such affordable devices entered India about 10 months ago, exceeding the number of users of the high-speed data service across networks in the country. On an average, 7-8 million smartphones are sold every month.
The high sales may push mobile carriers to widen the availability of 4G services. Bharti Airtel, India's No. 1 carrier, has launched its 4G service in hundreds of cities, while Aircel has rolled it out in a few. No. 2 Vodafone is set to start the service by the year end and No. 3 carrier Idea Cellular will offer it in 750 cities by June 2016.
""There's a very large chunk of customers who are buying 4G phones because they want their phones to be future-ready,"" Nagori said. ""So, even when 4G networks are not rolled out across the country, no one wants to buy an inferior phone.""
Flipkart also expects users of entry-level or affordable 4G phones to upgrade to premium phones. ""A lot of customers will start moving towards higher end phones and Flipkart is enabling that by providing products exchange, seamless buyback...ownership cycles are going down from 12-18 months to 9-12 months in the next one year,"" he said.
RELATED
More from The Times of India
Recommended By Colombia
More From The Times of India
Recommended By Colombia
"
"8",8,"Samsung Apple LG Huawei Motorola
In one of the most action packed weeks of late, our Top 10 trending phones chart has been shaken too. No less than 4 new entrants have made it into the top 10 and, believe it or not, one of them storms straight to the top.
The Motorola Moto G (3rd gen) is found in tenth, keeping the Samsung Galaxy A8 out by an inch. Long time podium finisher Galaxy Grand Prime is a notch above in ninth.
The just-released Huawei Nexus 6P is the first of the new additions to the Top 10 chart and is found in eighth spot. The Galaxy Note5 drops four positions and is now in seventh behind the J5. It's the other Nexus, the LG-made 5X, that joins the race in fifth, barely outstripped by the all-new (and rather intriguing) LG V10.
Moving on to the top three, we find that the Galaxy J7 has surrendered its second place from last week and is now in third. The iPhone 6s has climbed up four spots and is now runner-up by number of hits, comfortably ahead of the J7, but equally far from the top.
And this week's number one most researched phone is, out of nowhere, the Samsung Galaxy J2. The affordable 4.7-incher was announced a few weeks ago as part of the Make for India initiative, and we'd guess its recent market launch is the event that's fueled its rise to prominence in this week's Top 10 trending chart.
"
"9",9,"Technology
18 hours ago
Asus Zenfone 2 Laser 5.5: Asus India has launched the Zenfone 2 Laser 5.5 on Monday via e-commerce retailer Flipkart. The smartphone is now available for sale via Flipkart with a price tag of Rs 13,999.
The Zenfone 2 Laser 5.5 is a variant of the Zenfone 2 Laser that went on sale in India last month for Rs 9,999. Asus, at the time of launch in August, said that the new ZenFone range of smartphones will be available for sale via Flipkart as well as its exclusive physical stores and other retailers in the country.
Asus Zenfone 2 Laser 5.5 - Features:
Asus Zenfone 2 Laser 5.5 smartphone
The Asus Zenfone 2 Laser 5.5 is powered by a Snapdragon 615 octa-core 64-bit processor paired with 3GB of RAM. The smartphone also includes an internal storage of 16GB which is further expandable up to 128GB. Added to this, users will also get 5GB of Asus' web storage and 100GB of Google drive space.
It sports a 5.5-inch HD (1280×720 pixels) IPS display protected by Corning Gorilla Glass 4. The catchy thing about the device is its camera. The Zenfone 2 Laser 5.5 boasts a 13-megapixel f/2.0 PixelMaster camera with dual-LED flash and Laser auto-focus. According to the company, the Laser auto-focus lets one focus on the subject in less than half a second. There is also a 5-megapixel f/2.0 front camera.
Asus Zenfone 2 Laser 5.5
The device is backed by a 3,000mAh battery. It runs on Android 5.0 Lollipop wrapped under the ZenUI. The connectivity options include dual-SIM card slots, 4G LTE support, Wi-Fi 802.11 b/g/n, and Bluetooth 4.0. The device measures 152.5×77.2×10.8mm and weighs 170 grams. It will be available in 3 colour variants - Black, Red, and White.
The Zenfone 2 Laser 5.5 smartphone is expected to give competition to the Xiaomi Mi 4i, Motorola Moto G (third-generation), InFocus M530 and the Samsung Galaxy J7, along with few others.
The Asus ZenFone Go smartphone was made available for sale last month via the company's exclusive stores as well as other retail stores and Flipkart at Rs 7,999. Also, Asus ZenFone Selfie went on sale at Rs 17,999 last month.
Sharing
"
"10",10,"by Robin Sinha , 19 June 2015
Samsung, a day after launching its two mid-range tablets in India, has now launched two new Galaxy smartphones under its J-series in China - the Galaxy J7 (seen above) and Galaxy J5 (seen below). The smartphones are priced at at CNY 1,798 (roughly Rs. 18,400) and CNY 1,398 (roughly Rs. 14,300) respectively.
The Android 5.1-based handsets for now are limited to China region only with no word on their global launches. The dual-SIM dual standby handsets will be available in Black, White, and Gold colours.
The Samsung Galaxy J5 features a 5-inch TFT display with a HD screen resolution of 1280x720 pixels. The smartphone is backed by 1.2GHz quad-core Snapdragon 410 SoC coupled with 1.5GB of RAM. There is 16GB of built-in storage, which is further expandable via microSD card (up to 128GB).
It packs a 2600mAh battery, which is rated to deliver standby time of 342 hours. It sports a 13-megapixel rear autofocus camera with f/1.9 aperture and 5-megapixel front camera. Apart from 4G, the handset supports 3G, Bluetooth v4.1, Wi-Fi, NFC, GPS, Glonass and Micro-USB. The Galaxy J5 measures 142x73x8.5mm and weighs 149 grams.
The Samsung Galaxy J7 comes with most of the similar specifications as the Galaxy J5. The only difference in the Galaxy J7 is a larger 5.5-inch TFT display with the same resolution, an octa-core Snapdragon 615 (four 1.4GHz cores + four 1GHz cores), and a 3000mAh battery rated to deliver 354 hours of standby time. The smartphone measures 152.2x79.1x7.9mm and weighs 168 grams.
Samsung on Thursday launched two new mid-range tablets in India, the Galaxy Tab A and Galaxy Tab E , priced at Rs. 20,500 and Rs. 16,900 respectively.
Download the Gadgets 360 app for Android and iOS to stay up to date with the latest tech news, product                     reviews, and exclusive deals on the popular mobiles.
"
